Product_Package,SKU,Images,Name,Original_Price,Discount_Price,Category,Gender,Shirt,Shirt_Color,Shirt_Fabric,Trouser,Trouser_Color,Trouser_Fabric,Dupatta,Dupatta_Color,Dupatta_Fabric,Linning,Linning_Color,Lining_Fabric,Item_Type,Item_Color,Item_Fabric,Item_Material,Item_Size,Bag_Capacity,Perfume_Notes,Watch_Movement,Description
,KSY-W8956,https://res.cloudinary.com/dzo11laml/image/upload/v1751975825/Eau_De_Parfum2_qrh2r2.png,Eau de Parfum,8917,,Perfumes,Unisex,,,,,,,,,,,,,Eau de Parfum,Clear,,,,,"Top: Spice, Leather; Heart: Woody, Tobacco; Base: Amber, Vanilla",,A captivating Eau de Parfum with a long-lasting scent.
,KSY-M7538,https://res.cloudinary.com/dzo11laml/image/upload/v1751975929/Silver_Analogue_Watch_o6pzma.png,Male Silver Analog Watch,4324,,Watches,Male,,,,,,,,,,,,,Analog Watch,Silver,Leather,Leather,One Size,,,Automatic,A classic Analog Watch with a timeless design.
,KSY-U3496,https://res.cloudinary.com/dzo11laml/image/upload/v1751975824/Eau_De_Parfum_Female_cqv6cg.png,Female Eau de Parfum,8027,,Perfumes,Female,,,,,,,,,,,,,Eau de Parfum,Pink Tint,,,,,"Top: Spice, Leather; Heart: Woody, Tobacco; Base: Amber, Vanilla",,"An aromatic Eau de Parfum, perfect for evening wear."
,KSY-M9732,https://res.cloudinary.com/dzo11laml/image/upload/v1751975841/Gold_Ring_set_mbbxms.png,Gold Ring Set,7504,,Accessories,Female,,,,,,,,,,,,,Ring Set,Gold,,Zircon,,,,,Statement Ring Set to complete your outfit.
3 Piece,KSY-W3236,https://res.cloudinary.com/dzo11laml/image/upload/v1751975818/cream_Chiffon_3_piece_mcrv0w.png,Cream Chiffon 3 piece,7470,,Ready To Wear,Female,Yes,Cream,Chiffon,Yes,Red,Viscose,Yes,Multi-Print,Silk,,,,"Dupatta, Shirt, Trouser",,,"Chiffon, Silk, Viscose",,,,,Timeless Cream Chiffon Shirt style with modern embellishments.
3 Piece,KSY-U1146,https://res.cloudinary.com/dzo11laml/image/upload/v1751975920/red_khaddar_3_piece_mokbg3.png,Red Khaddar 3 piece,12035,,2 Piece Suits,Female,Yes,Red,Khaddar,Yes,Pink,Silk,Yes,Yellow,Viscose,,,,"Dupatta, Shirt, Trouser",,,"Khaddar, Silk, Viscose",,,,,Timeless Red Khaddar Shirt style with modern embellishments.
1 Piece,KSY-W8490,https://res.cloudinary.com/dzo11laml/image/upload/v1751975935/Sky_blue_linen_pants_fkwxks.png,Sky Blue Linen Pants,8432,,Men's Trousers,Male,,,,Yes,Sky Blue,Linen,,,,,,,Trouser,,,Linen,,,,,"Comfortable Sky Blue Linen Pants, ideal for everyday wear."
2 Piece,KSY-U76590,https://res.cloudinary.com/dzo11laml/image/upload/v1751975873/Navy_Blue_Wash_Wear_kurta_t2l611.png,Navy Blue Wash & Wear Kurta,18440,13200.0,Men's Shalwar Kameez,Male,Yes,Navy Blue,Wash & Wear,Yes,Navy Blue,Wash & Wear,,,,,,,"Shirt, Trouser",,,Wash & Wear,,,,,Tailored Navy Wash & Wear Kurta with a modern fit.
1 Piece,KSY-M4115,https://res.cloudinary.com/dzo11laml/image/upload/v1751975629/Black_Denim_Trouser_tcslss.png,Black Denim Trousers,18277,,Men's Trousers,Male,,,,Yes,Black,Denim,,,,,,,Trouser,,,Denim,,,,,Versatile Black Denim Trousers for both casual and semi-formal events.
2 Piece,KSY-M9216,https://res.cloudinary.com/dzo11laml/image/upload/v1751975844/Green_Chiffon_2_piece_j7nnhx.png,Green Chiffon 2 piece,2354,,Ready To Wear,Female,Yes,Green,Chiffon,Yes,Yellow,Cotton,,,,Yes,Green,Cotton,"Shirt, Trouser",,,"Chiffon, Cotton",,,,,Elegant Green Chiffon Kurta design for casual and formal wear.
